Date,Price,Open,High,Low,Vol.,Change %
9/27/06,158.742,159.013,159.261,157.076,-,0.48%
9/26/06,157.983,157.077,158.74,156.938,-,0.49%
9/25/06,157.217,155.774,157.902,155.347,-,-0.23%
9/22/06,157.578,159.358,159.717,157.444,-,-0.78%
9/21/06,158.82,157.097,158.895,156.615,-,1.43%
9/20/06,156.587,156.163,157.62,156.081,-,-0.66%
9/19/06,157.621,159.276,159.702,157.534,-,-1.05%
9/18/06,159.296,157.729,159.905,157.33,-,1.17%
9/15/06,157.454,158.531,158.531,156.78,-,-0.81%
9/14/06,158.745,161.661,161.692,157.954,-,-1.61%
9/13/06,161.343,161.577,162.538,161.069,-,-0.21%
9/12/06,161.678,163.144,163.75,161.54,-,-0.60%
9/11/06,162.656,164.165,164.255,161.95,-,-2.58%
9/8/06,166.966,168.239,168.328,166.911,-,-1.23%
9/7/06,169.043,170.097,170.188,168.715,-,-0.84%
9/6/06,170.468,170.308,171.745,170.277,-,-0.10%
9/5/06,170.647,170.165,172.141,170.141,-,0.79%
9/1/06,169.307,170.439,170.448,169.264,-,-0.92%
8/31/06,170.876,170.048,171.12,169.247,-,1.19%
8/30/06,168.868,168.659,170.213,167.58,-,-0.04%
8/29/06,168.943,170.178,170.198,168.279,-,-0.96%
8/28/06,170.579,171.808,171.859,170.439,-,-1.19%
8/25/06,172.637,173.5,174.116,172.633,-,0.15%
8/24/06,172.386,173.083,173.199,171.758,-,0.39%
8/23/06,171.712,172.059,172.919,171.335,-,-0.46%
8/22/06,172.502,171.163,172.599,170.693,-,0.54%
8/21/06,171.578,171.011,171.701,170.819,-,1.01%
8/18/06,169.855,170.292,170.548,169.194,-,0.50%
8/17/06,169.017,171.578,171.578,169.017,-,-1.75%
8/16/06,172.025,172.034,173.349,171.714,-,-0.04%
8/15/06,172.09,171.836,172.235,170.967,-,0.15%
8/14/06,171.838,171.73,172.043,170.666,-,-0.99%
8/11/06,173.554,177.175,177.33,173.1,-,-1.45%
8/10/06,176.108,178.376,178.477,175.955,-,-1.52%
8/9/06,178.835,177.458,179.789,177.446,-,1.28%
8/8/06,176.573,176.526,177.627,176.198,-,-0.37%
8/7/06,177.227,176.387,178.062,176.267,-,-0.14%
8/4/06,177.484,177.679,178.679,176.937,-,0.68%
8/3/06,176.284,177.725,177.789,176.037,-,-1.81%
8/2/06,179.534,179.367,181.374,179.048,-,1.19%
8/1/06,177.417,178.744,179.257,176.027,-,-0.35%
7/31/06,178.032,176.16,178.234,176.117,-,2.12%
7/28/06,174.33,173.827,175.911,171.999,-,0.39%
7/27/06,173.655,173.738,174.709,173.285,-,0.75%
7/26/06,172.361,172.407,173.04,171.929,-,0.06%
7/25/06,172.254,174.409,174.627,172.008,-,-0.19%
7/24/06,172.576,171.266,172.977,170.046,-,0.99%
7/21/06,170.89,171.77,172.239,168.98,-,-0.52%
7/20/06,171.788,173.309,174.216,171.658,-,-0.86%
7/19/06,173.282,171.326,173.419,171.236,-,0.49%
7/18/06,172.435,176.293,176.379,172.435,-,-1.68%
7/17/06,175.377,178.227,178.918,175.329,-,-2.55%
7/14/06,179.962,180.316,180.565,179.209,-,0.60%
7/13/06,178.888,177.976,179.144,177.518,-,0.38%
7/12/06,178.204,178.542,179.099,176.769,-,0.56%
7/11/06,177.22,176.674,177.71,176.326,-,1.31%
7/10/06,174.935,174.464,179.337,174.332,-,-0.02%
7/7/06,174.966,176.299,176.87,174.163,-,-1.23%
7/6/06,177.149,174.55,177.501,174.282,-,1.49%
7/5/06,174.543,175.111,175.116,173.26,-,0.29%
7/3/06,174.031,173.621,174.227,173.616,-,0.46%
6/30/06,173.235,172.87,173.693,172.588,-,1.55%
6/29/06,170.591,169.345,171.449,169.336,-,1.46%
6/28/06,168.139,168.612,168.806,167.807,-,0.23%
6/27/06,167.758,167.913,169.141,167.444,-,-0.20%
6/26/06,168.088,166.323,168.239,166.05,-,0.79%
6/23/06,166.766,166.429,167.4,166.061,-,-0.43%
6/22/06,167.49,169.015,169.099,167.312,-,-0.47%
6/21/06,168.284,166.758,168.564,166.174,-,0.92%
6/20/06,166.751,167.093,167.41,166.355,-,-0.33%
6/19/06,167.306,168.057,168.508,167.065,-,-1.88%
6/16/06,170.515,169.414,170.61,168.766,-,0.69%
6/15/06,169.35,167.046,170.05,166.726,-,2.08%
6/14/06,165.905,166.215,167.237,165.721,-,0.33%
6/13/06,165.352,167.56,168.204,165.102,-,-2.97%
6/12/06,170.412,171.926,172.482,170.41,-,-0.47%
6/9/06,171.217,172.345,173.661,170.856,-,-0.22%
6/8/06,171.597,172.289,173.107,170.831,-,-1.89%
6/7/06,174.91,173.557,175.331,172.879,-,-0.20%
6/6/06,175.267,176.882,177.697,174.319,-,-1.59%
6/5/06,178.091,179.862,180.036,177.877,-,-0.46%
6/2/06,178.913,176.173,179.236,176.104,-,2.26%
6/1/06,174.959,174.753,176.694,172.514,-,-0.97%
5/31/06,176.679,178.215,178.878,175.824,-,-1.10%
5/30/06,178.652,180.27,180.994,178.557,-,-0.36%
5/29/06,179.299,178.198,180.233,177.522,-,0.00%
5/26/06,179.299,178.198,180.233,177.522,-,1.18%
5/25/06,177.208,175.746,177.557,175.302,-,0.95%
5/24/06,175.537,177.969,178.163,175.444,-,-3.02%
5/23/06,180.998,178.098,180.998,172.01,-,2.78%
5/22/06,176.096,174.951,176.186,173.803,-,0.87%
5/19/06,174.572,177.134,177.165,173.996,-,-2.27%
5/18/06,178.632,179.285,179.775,178.027,-,-0.52%
5/17/06,179.558,182.159,182.406,177.754,-,-0.77%
5/16/06,180.959,181.338,181.782,179.678,-,0.64%
5/15/06,179.812,182.21,182.443,179.574,-,-2.96%
5/12/06,185.293,186.732,187.103,185.119,-,-1.20%
5/11/06,187.535,185.809,188.11,185.809,-,1.92%
5/10/06,183.996,181.686,183.996,181.124,-,1.71%
5/9/06,180.895,178.966,181.348,178.901,-,1.55%
5/8/06,178.138,176.871,178.251,176.12,-,-0.43%
5/5/06,178.907,177.65,179.608,177.65,-,0.72%
5/4/06,177.634,176.94,179.511,176.786,-,0.35%
5/3/06,177.013,178.861,178.967,176.897,-,-1.00%
5/2/06,178.796,179.267,179.671,177.702,-,0.34%
5/1/06,178.183,176.454,178.387,176.454,-,1.37%
4/28/06,175.767,174.408,176.646,174.31,-,1.22%
4/27/06,173.652,175.238,176.389,173.592,-,-2.29%
4/26/06,177.728,177.663,178.508,177.277,-,-0.08%
4/25/06,177.869,177.603,178.766,176.856,-,0.58%
4/24/06,176.846,179.254,179.61,176.691,-,-1.76%
4/21/06,180.014,177.361,180.014,176.582,-,1.81%
4/20/06,176.811,178.957,179.108,175.052,-,-1.18%
4/19/06,178.927,177.588,179.047,177.231,-,0.76%
4/18/06,177.571,175.355,177.644,174.887,-,2.08%
4/17/06,173.946,172.39,174.011,172.277,-,1.58%
4/13/06,171.242,169.77,171.411,169.476,-,0.56%
4/12/06,170.29,170.228,170.962,169.962,-,0.16%
4/11/06,170.021,169.763,170.062,168.733,-,0.45%
4/10/06,169.259,168.462,169.629,168.446,-,1.23%
4/7/06,167.195,167.31,167.506,165.858,-,-0.81%
4/6/06,168.552,168.411,168.799,167.879,-,1.08%
4/5/06,166.745,165.427,166.948,165.012,-,1.23%
4/4/06,164.723,165.565,166.136,164.385,-,-1.11%
4/3/06,166.576,166.704,168.542,166.454,-,0.84%
3/31/06,165.194,166.655,166.718,164.416,-,-1.29%
3/30/06,167.351,165.587,167.466,165.439,-,1.34%
3/29/06,165.132,164.042,165.294,163.964,-,0.33%
3/28/06,164.583,163.26,164.749,163.26,-,0.82%
3/27/06,163.24,162.78,163.659,162.632,-,0.16%
3/24/06,162.972,162.269,164.019,162.203,-,0.20%
3/23/06,162.645,160.006,162.715,159.992,-,1.73%
3/22/06,159.88,160.81,161.493,159.778,-,-0.55%
3/21/06,160.766,159.91,161.032,159.426,-,0.52%
3/20/06,159.927,161.455,161.667,159.693,-,-1.39%
3/17/06,162.186,162.598,163.135,162.068,-,-0.12%
3/16/06,162.38,161.759,163.082,161.13,-,0.25%
3/15/06,161.976,162.273,163.3,161.841,-,-0.40%
3/14/06,162.625,161.293,162.745,160.777,-,0.91%
3/13/06,161.161,159.813,161.477,159.602,-,0.82%
3/10/06,159.846,159.179,160.442,158.615,-,0.14%
3/9/06,159.626,159.437,159.909,158.739,-,0.53%
3/8/06,158.78,159.361,159.366,157.865,-,-1.06%
3/7/06,160.483,162.251,162.634,160.136,-,-1.20%
3/6/06,162.428,164.057,164.057,161.762,-,-1.86%
3/3/06,165.499,165.25,165.599,164.038,-,0.50%
3/2/06,164.679,162.978,164.79,162.79,-,1.44%
3/1/06,162.34,161.957,162.878,161.871,-,0.07%
2/28/06,162.234,161.032,162.357,160.159,-,0.99%
2/27/06,160.645,162.46,162.913,160.021,-,-1.99%
2/24/06,163.902,163.296,164.612,163.081,-,1.02%
2/23/06,162.25,162.405,162.938,161.205,-,-0.48%
2/22/06,163.027,163.954,164.54,162.566,-,-1.48%
2/21/06,165.479,164.318,165.487,163.851,-,1.82%
2/20/06,162.515,162.515,162.556,161.402,-,0.00%
2/17/06,162.515,161.733,162.556,161.402,-,1.09%
2/16/06,160.758,160.296,160.804,158.852,-,0.65%
2/15/06,159.726,161.765,162.054,159.037,-,-1.31%
2/14/06,161.839,162.403,162.437,161.379,-,-0.34%
2/13/06,162.384,164.19,164.194,162.203,-,-1.16%
2/10/06,164.285,166.674,167.361,164.17,-,-2.05%
2/9/06,167.731,167.95,168.147,167.066,-,0.53%
2/8/06,166.841,166.639,168.648,166.435,-,-0.12%
2/7/06,167.042,169.786,169.829,166.971,-,-2.09%
2/6/06,170.612,172.308,172.495,170.483,-,-1.13%
2/3/06,172.555,171.082,172.6,170.698,-,1.01%
2/2/06,170.83,171.331,171.454,169.087,-,-0.34%
2/1/06,171.409,174.198,175.34,170.934,-,-1.30%
1/31/06,173.669,173.784,174.519,172.603,-,-0.32%
1/30/06,174.224,172.605,174.349,172.378,-,1.54%
1/27/06,171.589,171.59,172.525,170.935,-,0.98%
1/26/06,169.926,169.39,170.428,168.563,-,-0.11%
1/25/06,170.115,170.944,170.944,169.872,-,-0.02%
1/24/06,170.141,169.243,171.325,168.724,-,0.14%
1/23/06,169.898,169.449,170.341,169.151,-,-0.31%
1/20/06,170.431,170.044,171.221,170.044,-,0.93%
1/19/06,168.868,167.598,168.951,167.055,-,0.91%
1/18/06,167.339,169.646,169.676,166.71,-,-1.33%
1/17/06,169.589,168.697,169.703,168.597,-,1.03%
1/16/06,167.865,167.865,168.02,166.654,-,0.00%
1/13/06,167.865,166.818,168.02,166.654,-,0.51%
1/12/06,167.005,168.259,168.482,166.913,-,-0.57%
1/11/06,167.969,168.318,168.787,167.274,-,-0.36%
1/10/06,168.582,169.48,169.78,168.184,-,-0.33%
1/9/06,169.135,170.019,170.105,168.24,-,-0.71%
1/6/06,170.352,170.33,171.369,169.775,-,0.78%
1/5/06,169.029,170.588,170.762,168.542,-,-1.63%
1/4/06,171.829,170.75,171.956,170.2,-,0.00%
1/3/06,171.829,170.887,172.918,170.424,-,0.40%
1/2/06,171.149,171.149,171.244,169.752,-,0.00%
12/30/05,171.149,168.826,171.277,168.655,-,0.76%
12/29/05,169.863,170.704,171.665,169.498,-,-0.68%
12/28/05,171.023,169.066,171.887,168.114,-,1.57%
12/27/05,168.383,169.054,171.263,167.791,-,-1.71%
12/26/05,171.313,171.313,171.564,170.07,-,0.00%
12/23/05,171.313,171.086,171.564,170.07,-,-0.72%
12/22/05,172.558,174.941,174.959,171.942,-,-1.35%
12/21/05,174.92,173.893,175.267,172.826,-,0.43%
12/20/05,174.173,173.938,176.517,173.841,-,-0.06%
12/19/05,174.284,175.249,175.258,172.787,-,0.49%
12/16/05,173.426,173.206,174.374,173.133,-,-0.40%
12/15/05,174.131,175.184,177.575,173.939,-,-1.65%
12/14/05,177.051,180.102,180.127,176.968,-,-1.77%
12/13/05,180.24,179.759,180.937,179.585,-,1.20%
12/12/05,178.107,177.587,178.165,176.735,-,1.61%
12/9/05,175.291,178.931,179.343,174.611,-,-1.33%
12/8/05,177.651,174.017,178.295,173.943,-,2.82%
12/7/05,172.776,174.014,174.191,172.207,-,0.30%
12/6/05,172.266,172.165,173.308,171.739,-,-0.66%
12/5/05,173.412,174.578,176.414,172.857,-,0.41%
12/2/05,172.701,170.871,172.829,170.063,-,1.62%
12/1/05,169.94,166.792,170.272,166.787,-,2.13%
11/30/05,166.402,163.884,166.678,163.333,-,1.86%
11/29/05,163.358,164.299,165.352,162.686,-,-0.21%
11/28/05,163.708,164.089,164.694,162.045,-,-0.54%
11/23/05,164.601,164.057,165.117,163.708,-,-0.29%
11/22/05,165.072,164.91,165.331,164.524,-,0.49%
11/21/05,164.272,165.133,165.45,163.87,-,-0.09%
11/18/05,164.42,165.839,165.96,164.069,-,-0.98%
11/17/05,166.055,168.526,168.97,165.927,-,-0.87%
11/16/05,167.519,165.029,167.907,164.945,-,1.44%
11/15/05,165.134,166.212,167.104,164.996,-,-0.53%
11/14/05,166.01,166.789,167.173,165.099,-,-0.07%
11/11/05,166.126,165.118,166.195,164.971,-,0.86%
11/10/05,164.703,165.984,165.984,163.876,-,-0.97%
11/9/05,166.314,166.718,167.782,165.355,-,-0.55%
11/8/05,167.235,166.807,167.808,166.056,-,0.09%
11/7/05,167.078,165.057,167.237,164.361,-,0.49%
11/4/05,166.267,166.669,166.792,165.916,-,-0.80%
11/3/05,167.611,166.424,167.742,165.91,-,1.33%
11/2/05,165.413,165.149,166.643,164.546,-,-0.17%
11/1/05,165.691,166.531,166.531,164.455,-,-0.50%
10/31/05,166.516,168.823,168.839,166.305,-,-2.02%
10/28/05,169.945,170.505,170.53,169,-,-0.99%
10/27/05,171.646,172.726,174.373,170.589,-,-0.59%
10/26/05,172.665,175.569,175.687,171.614,-,-1.61%
10/25/05,175.49,170.159,175.729,170.071,-,3.42%
10/24/05,169.68,168.556,169.887,168.467,-,-0.40%
10/21/05,170.358,169.523,170.358,168.282,-,-0.31%
10/20/05,170.886,173.485,173.589,170.468,-,-1.53%
10/19/05,173.537,174.525,174.905,172.729,-,-0.72%
10/18/05,174.79,175.466,175.523,174.544,-,-1.42%
10/17/05,177.307,177.137,177.463,176.15,-,1.85%
10/14/05,174.087,173.325,174.237,172.098,-,-0.41%
10/13/05,174.812,176.89,176.89,174.23,-,-1.24%
10/12/05,177.011,176.641,177.3,175.817,-,0.41%
10/11/05,176.283,174.093,176.423,173.148,-,1.79%
10/10/05,173.178,173.267,173.422,171.708,-,-0.34%
10/7/05,173.764,174.445,174.577,173.118,-,0.04%
10/6/05,173.7,177.07,177.091,173.517,-,-1.90%
10/5/05,177.062,178.039,179.617,176.9,-,-0.39%
10/4/05,177.75,177.87,178.083,176.048,-,-0.60%
10/3/05,178.816,178.597,179.212,178.107,-,0.32%
9/30/05,178.249,178.561,179.407,177.176,-,-0.46%
9/29/05,179.069,178.983,180.315,177.434,-,0.37%
9/28/05,178.405,173.846,179.01,173.8,-,2.58%
9/27/05,173.923,173.164,174.541,172.949,-,-0.32%
9/26/05,174.487,171.564,174.671,169.656,-,1.57%
9/23/05,171.793,173.566,174.358,171.023,-,-1.65%
9/22/05,174.669,176.578,176.655,173.914,-,0.50%
9/21/05,173.801,175.026,175.92,170.901,-,0.66%
9/20/05,172.666,171.237,173.184,170.626,-,-0.82%
9/19/05,174.1,168.755,174.1,168.628,-,4.94%
9/16/05,165.901,167.271,167.681,165.749,-,-1.06%
9/15/05,167.686,168.164,168.76,166.34,-,-0.36%
9/14/05,168.284,166.24,168.384,165.99,-,1.22%
9/13/05,166.253,166.906,167.444,165.679,-,-0.69%
9/12/05,167.413,168.235,168.267,166.189,-,-0.82%
9/9/05,168.804,169.645,170.017,168.467,-,-0.22%
9/8/05,169.175,169.104,169.591,167.086,-,0.31%
9/7/05,168.655,171.063,171.107,168.018,-,-1.68%
9/6/05,171.534,172.457,172.936,171.163,-,-0.26%
9/2/05,171.975,174.043,174.161,171.487,-,-1.19%
9/1/05,174.046,171.913,174.118,170.777,-,1.89%
8/31/05,170.816,171.975,174.158,169.4,-,-0.78%
8/30/05,172.158,170.946,175.271,170.333,-,2.10%
