Date,Price,Open,High,Low,Vol.,Change %
4/9/20,556.5,549.25,558.75,546.75,63.61K,1.50%
4/8/20,548.25,551,554.5,545,57.53K,-0.18%
4/7/20,549.25,555.25,555.75,545.25,67.15K,-1.17%
4/6/20,555.75,550,561.75,549.75,44.55K,1.18%
4/3/20,549.25,541.75,556.5,541.5,44.94K,1.38%
4/2/20,541.75,550.25,553.25,538.25,46.93K,-1.54%
4/1/20,550.25,567.25,571.75,546.5,67.31K,-3.25%
3/31/20,568.75,569.75,575.25,564.25,66.20K,-0.13%
3/30/20,569.5,572.25,580.75,562.75,59.62K,-0.31%
3/27/20,571.25,569.5,587,563.5,87.58K,0.40%
3/26/20,569,579.5,583,564.5,76.66K,-1.90%
3/25/20,580,560,583.25,556.75,97.56K,3.29%
3/24/20,561.5,560.5,562.5,549.75,67.26K,-0.18%
3/23/20,562.5,539.5,563.25,537.25,86.81K,4.31%
3/20/20,539.25,534.5,547,533,71.44K,0.79%
3/19/20,535,508.5,540.5,508.5,103.08K,5.26%
3/18/20,508.25,500.75,512,494.5,68.78K,1.80%
3/17/20,499.25,496.25,506.5,494.5,65.54K,0.25%
3/16/20,498,503,507.25,491.75,78.98K,-3.25%
3/13/20,514.75,509.75,509.75,506.5,0.08K,1.28%
3/12/20,508.25,506.75,508.75,506.75,0.02K,-1.74%
3/11/20,517.25,527.25,527.5,521,0.03K,-1.80%
3/10/20,526.75,524.25,524.25,519.25,0.06K,0.86%
3/9/20,522.25,516,524,513.5,0.12K,0.19%
3/6/20,521.25,520,522.75,516.25,0.03K,-0.57%
3/5/20,524.25,521.25,528.5,518.5,0.11K,0.53%
3/4/20,521.5,528,528,521.25,0.21K,-1.37%
3/3/20,528.75,523,534.5,523,0.30K,0.48%
3/2/20,526.25,523.5,526.25,521.5,0.67K,-0.52%
2/28/20,529,531,531.25,515.5,2.19K,-0.05%
2/27/20,529.25,538.75,539.25,528.25,20.81K,-2.04%
2/26/20,540.25,539.25,542.75,534.75,19.75K,0.23%
2/25/20,539,539,541.25,530.75,29.43K,0.51%
2/24/20,536.25,550.25,550.5,534,53.34K,-2.68%
2/21/20,551,559.75,569,550.5,81.11K,-1.61%
2/20/20,560,565.25,567.5,558.25,55.43K,-0.93%
2/19/20,565.25,563,565.75,553,68.27K,-0.26%
2/18/20,566.75,549.25,570.75,548,123.53K,3.92%
2/16/20,545.38,544.38,545.38,543.88,-,0.48%
2/14/20,542.75,544.75,549.5,542,63.12K,-0.28%
2/13/20,544.25,548.5,550.5,540.75,85.05K,-0.59%
2/12/20,547.5,541,549,538.25,91.90K,1.01%
2/11/20,542,551.5,551.75,539,166.63K,-1.81%
2/10/20,552,558.75,560.75,551,100.46K,-1.21%
2/7/20,558.75,557,563,553.25,64.89K,0.45%
2/6/20,556.25,563.75,565.5,555.75,51.96K,-1.02%
2/5/20,562,559.25,563.75,555.5,52.87K,0.85%
2/4/20,557.25,554.25,564.25,553.5,69.49K,0.32%
2/3/20,555.5,551.25,558,546.5,83.00K,0.32%
1/31/20,553.75,562.5,566,552.75,63.92K,-1.20%
1/30/20,560.5,562.5,562.5,550.75,77.79K,-0.31%
1/29/20,562.25,571,573.25,561,55.03K,-1.32%
1/28/20,569.75,573,576.5,565.5,56.86K,-0.44%
1/27/20,572.25,567.75,573.25,559.5,78.99K,-0.22%
1/24/20,573.5,581.75,581.75,569.5,58.50K,-1.21%
1/23/20,580.5,577.75,583,575.25,55.85K,0.48%
1/22/20,577.75,581.5,592.5,574.5,84.47K,-0.64%
1/21/20,581.5,572.5,582.75,566.75,69.90K,2.06%
1/20/20,569.75,569.5,569.75,569.5,-,-0.18%
1/19/20,570.75,571.12,571.12,570.75,-,0.04%
1/17/20,570.5,565.5,572.5,564.25,54.67K,0.93%
1/16/20,565.25,573.5,573.5,560,58.19K,-1.40%
1/15/20,573.25,569,578.75,568.25,78.78K,0.84%
1/14/20,568.5,562.25,573,559.25,69.29K,1.11%
1/13/20,562.25,565.25,565.75,558.5,51.06K,-0.40%
1/10/20,564.5,562.75,568.5,555.75,92.63K,0.40%
1/9/20,562.25,553.75,564,552.75,66.46K,1.72%
1/8/20,552.75,549.5,555.75,545.25,51.32K,0.45%
1/7/20,550.25,549.5,551,545.5,41.35K,0.05%
1/6/20,550,552.5,555.25,546.75,47.90K,-0.81%
1/3/20,554.5,560.75,562,551.75,44.18K,-1.03%
1/2/20,560.25,559.5,567.5,558.25,49.93K,0.13%
1/1/20,559.5,559.5,559.5,559.5,-,0.13%
12/31/19,558.75,555,559.75,553,38.47K,0.49%
12/30/19,556,560,564.5,551.5,42.49K,-0.04%
12/27/19,556.25,549.75,561,549.25,52.11K,1.32%
12/26/19,549,540.75,552,540.25,30.24K,1.48%
12/25/19,541,541,541,541,-,0.00%
12/24/19,541,539.5,545,538.5,21.56K,0.28%
12/23/19,539.5,543,547,538.75,33.26K,-0.51%
12/20/19,542.25,545.25,549,538.75,44.10K,-0.55%
12/19/19,545.25,547.5,553.5,544,39.72K,-0.55%
12/18/19,548.25,553.25,555,545.25,56.33K,-1.44%
